Traffic Density Study of M/s. Commercial Development at Prestige,,,,,,,,
Direction 1:Towards Hosur (Service Road),,,,,,,DATE:,
,,,,,,,2/3/2019,
7 pm to 8 pm,102,102,18,15,25,37,5,304
8 pm to 9 pm,71,87,12,20,17,27,3,237
9 pm to 10pm,50,50,10,13,13,18,1,155
10 pm to11pm,30,29,7,13,13,22,0,114
11 pm to 12am,15,18,5,11,15,20,0,84
12 am to 1 am,7,12,2,7,11,17,0,56
1 am to 2 am,4,10,1,9,9,20,0,53
2 am to 3 am,3,8,0,9,10,13,0,43
3 am to 4 am,5,9,0,11,13,25,0,63
4 am to 5 am,9,14,1,13,14,11,0,62
5 am to 6 am,16,20,3,9,8,9,0,65
,1063,1218,227,372,354,558,42,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Traffic Density Study of M/s. Commercial Development at Bommasandra,,,,,,,,
Direction 2 :Towards Electronic City (Service Road) with PCU,,,,,,,DATE:,
,,,,,,,2/3/2018,
TIME,2 Wheeler,Car,3,Bus,LCV,HCV,Cycle,Total
,,,Wheeler,,,,,
6 am to 7 am,24,26,5,11,11,22,1,100
7 am to 8 am,48,58,7,11,13,28,2,167
8 am to 9 am,97,96,11,15,19,40,6,284
9 am to 10 am,103,102,17,17,21,44,5,309
10 am to 11am,78,89,13,17,21,37,4,259
11 am to 12pm,68,78,12,20,22,31,3,234
12 pm to 1 pm,58,70,9,15,28,42,4,226
1 pm to 2 pm,56,68,12,17,30,40,2,225
2 pm to 3 pm,52,62,15,20,28,35,3,215
3 pm to 4 pm,56,67,13,25,18,38,2,219
4 pm to 5 pm,65,77,10,22,26,48,4,252
5 pm to 6 pm,96,119,15,40,37,63,6,376
6 pm to 7 pm,107,131,15,33,49,82,5,422
7 pm to 8 pm,101,130,15,37,53,77,6,419
8 pm to 9 pm,91,128,15,31,48,82,4,399
9 pm to 10 pm,76,104,8,20,39,55,2,304
10 pm to 11pm,68,80,7,15,35,50,0,255
11 pm to 12am,52,66,4,13,28,47,0,210
12 am to 1 am,15,29,0,11,22,35,0,112
1 am to 2 am,7,12,0,9,12,31,0,71
2 am to 3 am,5,9,0,11,12,26,0,63
3 am to 4 am,3,8,0,9,15,24,0,59
4 am to 5 am,6,14,1,11,18,33,0,83
5 am to 6 am,20,31,5,16,26,38,2,138
TOTAL,1352,1654,209,446,631,1048,61,
